POPULATION	N	PEARSON	SPEARMAN	MEDIAN_PRE	MEDIAN_POST	MEAN_PRE	MEAN_POST	SD_PRE	SD_POST	METRIC	PANEL
pE1 cytotoxic Tcells (CD27+  CD28+)	10320	0.993815659579614	0.993187699117757	0.0121440696612915	0.0121532724505638	0.0190088908057901	0.0190318324128789	0.0224023945688954	0.0224065043796954	FREQ_LYMPH_PBMC	panel1
effector memory helper Tcells (CCR7- CD45RA-)	10320	0.999852127957597	0.999911789249872	11589	11588.5	14792.2957364341	14795.6389534884	12503.5737753134	12511.3342387469	COUNT	panel1
effector memory helper Tcells (CCR7- CD45RA-)	10320	0.999469519323752	0.999469519323752	0.155641497096033	0.155544714122614	0.176202678739838	0.176208797824703	0.103232152414521	0.103285602952652	FREQ_PARENT	panel1
effector memory helper Tcells (CCR7- CD45RA-)	10320	0.999671619400118	0.999737890329196	0.0681710137082152	0.0681643013809002	0.0765019803727196	0.0764985479649178	0.0430784042773358	0.0431109181805583	FREQ_LYMPH_PBMC	panel1
effector helper Tcells (CCR7- CD45RA+)	10320	0.992355232004329	0.996799177874504	2976.5	2982.5	5494.63110465116	5488.28042635659	9470.71795511764	9439.60109375551	COUNT	panel1
effector helper Tcells (CCR7- CD45RA+)	10320	0.990960702819642	0.990960702819642	0.0363536227809676	0.0363761013209977	0.0630198003975666	0.0631412566953581	0.081908450687899	0.0822947374784022	FREQ_PARENT	panel1
effector helper Tcells (CCR7- CD45RA+)	10320	0.988288451835344	0.995004837079561	0.0173699226512384	0.0173718301797871	0.0278425931737458	0.0278651578281094	0.037413667117102	0.0375090289835871	FREQ_LYMPH_PBMC	panel1
central memory helper Tcells (CCR7+ CD45RA-)	10320	0.999943218661309	0.999938761601257	23735.5	23754	28162.6130813953	28165.85	20913.4606717985	20915.2257920014	COUNT	panel1
central memory helper Tcells (CCR7+ CD45RA-)	10320	0.999650899626568	0.999650899626568	0.317034575789972	0.317175732741909	0.326381465028419	0.32640826190503	0.132059852454586	0.13213326216216	FREQ_PARENT	panel1
central memory helper Tcells (CCR7+ CD45RA-)	10320	0.999835095095285	0.999827664543516	0.139111743873381	0.139208474259075	0.147958165340236	0.147960203794121	0.0688019840038751	0.0688122933299424	FREQ_LYMPH_PBMC	panel1
naive helper Tcells (CCR7+ CD45RA+)	10320	0.999445942095699	0.99946838180302	31911	31885.5	40743.9750968992	40746.8028100775	35302.8491487863	35325.4759752034	COUNT	panel1
naive helper Tcells (CCR7+ CD45RA+)	10320	0.998181334375071	0.998181334375071	0.435918795636626	0.435244589992767	0.434458099222467	0.434303581522018	0.191972576161297	0.192043904473592	FREQ_PARENT	panel1
naive helper Tcells (CCR7+ CD45RA+)	10320	0.99886008656239	0.99889572386399	0.193374800881337	0.193229963527259	0.211436686797838	0.211384294011415	0.127489044126239	0.127483033712658	FREQ_LYMPH_PBMC	panel1
effector memory helper Tcells (CD95- CD28-)	10320	0.998694128737086	0.999223117337977	734	737	3358.28410852713	3363.36918604651	7779.9700909855	7809.70614585722	COUNT	panel1
effector memory helper Tcells (CD95- CD28-)	10320	0.998498911658619	0.998498911658619	0.010954797640496	0.011001606438241	0.0431131642310064	0.0431611172156054	0.0799214826204604	0.0801358404580113	FREQ_PARENT	panel1
effector memory helper Tcells (CD95- CD28-)	10320	0.998761707253148	0.998770513501724	0.00483252147370832	0.00482986257480078	0.0173535355503272	0.017376495019233	0.033815567637384	0.0339267190231983	FREQ_LYMPH_PBMC	panel1
naive helper Tcells (CD95- CD28+)	10320	0.999895149582013	0.999771210008605	32747	32720.5	42092.8674418605	42093.2067829457	37256.9941711112	37258.2008636873	COUNT	panel1
naive helper Tcells (CD95- CD28+)	10320	0.999111778938644	0.999111778938644	0.451583657571361	0.451552880778313	0.440842293609816	0.440899693656748	0.207490807208546	0.20754436078851	FREQ_PARENT	panel1
naive helper Tcells (CD95- CD28+)	10320	0.999681005725747	0.999582737453229	0.201352888203147	0.201392830598386	0.216007420312681	0.215998863446288	0.134278674586906	0.134243104203512	FREQ_LYMPH_PBMC	panel1
central memory helper Tcells (CD95+ CD28+)	10320	0.999860193334986	0.999823023734125	37309	37355	43716.7785852713	43713.9407945736	30936.4309360887	30947.6215189987	COUNT	panel1
central memory helper Tcells (CD95+ CD28+)	10320	0.999063402730205	0.999063402730205	0.501117388588149	0.500890039015076	0.515734807724161	0.515620366349497	0.193769641441228	0.193831980866618	FREQ_PARENT	panel1
central memory helper Tcells (CD95+ CD28+)	10320	0.999650548266704	0.999676452563075	0.21851492822591	0.218572114438438	0.230236527239087	0.230188792216835	0.0959590145925488	0.0960184173194394	FREQ_LYMPH_PBMC	panel1
Helper Tcells-CD4+	10320	0.999975383392029	0.999980449949012	80563	80605	89192.5152131783	89195.5723837209	56301.1404637328	56306.0025968224	COUNT	panel1
Helper Tcells-CD4+	10320	0.999488747654727	0.999488747654727	0.688095253220596	0.687935841970871	0.670473572010338	0.670407135779335	0.140324099787833	0.140399565524024	FREQ_PARENT	panel1
Helper Tcells-CD4+	10320	0.999747877042044	0.999901903612624	0.469047509685465	0.469161812303596	0.463727774155656	0.463696694310464	0.133334424516009	0.13334142648539	FREQ_LYMPH_PBMC	panel1
effector memory cytotoxic Tcells (CCR7- , CD45RA-)	10320	0.998606177535837	0.999196243210593	2830.5	2834	5353.03740310078	5357.08488372093	7334.62083981176	7342.93352383785	COUNT	panel1
effector memory cytotoxic Tcells (CCR7- , CD45RA-)	10320	0.99809886332104	0.99809886332104	0.114416235890895	0.114541088007943	0.167327012214584	0.167413140918648	0.145605169117259	0.14569699031271	FREQ_PARENT	panel1
effector memory cytotoxic Tcells (CCR7- , CD45RA-)	10320	0.998377157395791	0.998521704564476	0.0172039746263204	0.0172106819073155	0.0274400897500616	0.0274606531854171	0.0301514077060482	0.0301833860075062	FREQ_LYMPH_PBMC	panel1
effector cytotoxic Tcells  (CCR7-  CD45RA+)	10320	0.99950239545952	0.999192815940892	11333	11339.5	17841.2009689922	17850.126744186	19665.6910063334	19674.1595991879	COUNT	panel1
effector cytotoxic Tcells  (CCR7-  CD45RA+)	10320	0.996724448882399	0.996724448882399	0.517439962981703	0.517373158354821	0.505697518631137	0.5059616259285	0.249406561010165	0.249503442176906	FREQ_PARENT	panel1
effector cytotoxic Tcells  (CCR7-  CD45RA+)	10320	0.999083078687164	0.998699473933605	0.0715540056012864	0.0715334450562773	0.094306908070405	0.0943374331112305	0.0813297567652228	0.0813402118937989	FREQ_LYMPH_PBMC	panel1
central memory cytotoxic Tcells (CCR7+ , CD45RA-)	10320	0.999752753739716	0.99903083799285	2158	2160	3699.5003875969	3700.11579457364	5035.70389256306	5036.07840473863	COUNT	panel1
central memory cytotoxic Tcells (CCR7+ , CD45RA-)	10320	0.998565586937259	0.998565586937259	0.0865858498827214	0.0864933280870231	0.123353444486979	0.123334990852801	0.1109171324093	0.11089423383856	FREQ_PARENT	panel1
central memory cytotoxic Tcells (CCR7+ , CD45RA-)	10320	0.998906870467078	0.998391042994532	0.0128764278376674	0.0128732917954268	0.0194062279130821	0.0194066979668161	0.0218695422670823	0.0218739452609321	FREQ_LYMPH_PBMC	panel1
naive cytotoxic Tcells (CCR7+ , CD45RA+)	10320	0.997785143358601	0.995365771697655	3504	3493.5	5705.19331395349	5696.27335271318	6683.88620019945	6682.43477571074	COUNT	panel1
naive cytotoxic Tcells (CCR7+ , CD45RA+)	10320	0.994621651882491	0.994621651882491	0.159282671325774	0.158796013454582	0.203716521656292	0.203384413618109	0.177315810644313	0.177359083751599	FREQ_PARENT	panel1
naive cytotoxic Tcells (CCR7+ , CD45RA+)	10320	0.993480874758918	0.994641597161417	0.0220612490004133	0.0219503540326604	0.0305578101971133	0.0305155493622575	0.0300857731398808	0.0300595228993811	FREQ_LYMPH_PBMC	panel1
effector memory cytotoxic Tcells (CD95- , CD28-)	10320	0.999868541611658	0.99986554857491	9147.5	9135	14901.2745155039	14902.3766472868	17499.0204518546	17503.5536602203	COUNT	panel1
effector memory cytotoxic Tcells (CD95- , CD28-)	10320	0.998868468604319	0.998868468604319	0.399597094883706	0.399142505885893	0.410816833805872	0.410670962083661	0.224479573759053	0.224313373218134	FREQ_PARENT	panel1
effector memory cytotoxic Tcells (CD95- , CD28-)	10320	0.999658917907084	0.999759384596099	0.0581408369389861	0.058075344681228	0.0784383393273203	0.0784180565367332	0.071959647056762	0.0719181152846169	FREQ_LYMPH_PBMC	panel1
naive cytotoxic Tcells (CD95- , CD28+)	10320	0.999811034442595	0.999702968775744	3595.5	3590	6063.44748062016	6063.74951550388	7263.93509829706	7265.76820763023	COUNT	panel1
naive cytotoxic Tcells (CD95- , CD28+)	10320	0.998961728464166	0.998961728464166	0.149959041239247	0.14991942595166	0.200277647177839	0.200203983308787	0.167413831252416	0.167307480767254	FREQ_PARENT	panel1
naive cytotoxic Tcells (CD95- , CD28+)	10320	0.999205869872989	0.999154182044797	0.0220905861779853	0.0221189502236687	0.0308259605750546	0.0308241926383524	0.0289691938120763	0.0289641325541597	FREQ_LYMPH_PBMC	panel1
central memory cytotoxic Tcells (CD95+ , CD28+)	10320	0.999788156059377	0.999368706163764	8702	8713	11576.6174418605	11579.7312015504	10470.5358964051	10467.5888305481	COUNT	panel1
central memory cytotoxic Tcells (CD95+ , CD28+)	10320	0.998480086230262	0.998480086230262	0.367465429462781	0.367167706946493	0.387174477899676	0.387259139745872	0.181028092890445	0.180944201515363	FREQ_PARENT	panel1
central memory cytotoxic Tcells (CD95+ , CD28+)	10320	0.998812698931641	0.998402691766143	0.0523309373768534	0.0523534577348033	0.062134348766099	0.0621613364924292	0.0414769352774405	0.0414853744524164	FREQ_LYMPH_PBMC	panel1
cytotoxic Tcells-CD8+	10320	0.999930014406964	0.999939604619227	26362.5	26363.5	32597.9325581395	32602.6012596899	25636.9521117299	25643.037211848	COUNT	panel1
cytotoxic Tcells-CD8+	10320	0.999419571974755	0.999419571974755	0.22994877490906	0.229940134816483	0.248849769781024	0.248869424510314	0.117301820335444	0.11730596108668	FREQ_PARENT	panel1
cytotoxic Tcells-CD8+	10320	0.999654556868933	0.999557112762955	0.155355875675039	0.155308860273448	0.171699388129245	0.171708827827572	0.0892736349874957	0.0892641024711221	FREQ_LYMPH_PBMC	panel1
pE cytotoxic Tcells (CD95-CD28-,CD27-  CD28-)	10320	0.999785593837773	0.999917165194793	1910	1907.5	4526.30455426357	4526.25348837209	7357.67364483373	7357.50093567764	COUNT	panel1
pE cytotoxic Tcells (CD95-CD28-,CD27-  CD28-)	10320	0.999282076138241	0.999282076138241	0.184691958798085	0.184512296084482	0.261671466875389	0.261519221765518	0.511496690095244	0.511342641672373	FREQ_PARENT	panel1
pE cytotoxic Tcells (CD95-CD28-,CD27-  CD28-)	10320	0.999819496916588	0.999873488728462	0.01217831133231	0.0121700319253799	0.0238472901032804	0.0238424264691726	0.0324744121135667	0.0324699694046765	FREQ_LYMPH_PBMC	panel1
pE2 cytotoxic Tcells (CD95-CD28-,CD27+ , CD28-)	10320	0.997384318022762	0.998834706431694	572	573	1117.5257751938	1118.80387596899	1745.84052151867	1750.1496558064	COUNT	panel1
pE2 cytotoxic Tcells (CD95-CD28-,CD27+ , CD28-)	10320	0.998485044886268	0.998485044886268	0.0557509595351767	0.0556935478593351	0.106780363191065	0.106521478062308	0.238165137749904	0.238042244743001	FREQ_PARENT	panel1
pE2 cytotoxic Tcells (CD95-CD28-,CD27+ , CD28-)	10320	0.9979400199774	0.99848834336599	0.00348188989495017	0.00348365555945935	0.00613455810554154	0.00613753790379352	0.00834720993000513	0.00835875630398411	FREQ_LYMPH_PBMC	panel1
pE1 cytotoxic Tcells (CD95-CD28-,CD27+  CD28+)	10320	0.99870424620008	0.998090424140602	1399	1399	2389.15910852713	2391.13158914729	3260.86067538794	3267.05777654641	COUNT	panel1
pE1 cytotoxic Tcells (CD95-CD28-,CD27+  CD28+)	10320	0.998823352151464	0.998823352151464	0.133116130900114	0.132896315391779	0.216180156925312	0.216128798686469	0.383047770124973	0.38301443838808	FREQ_PARENT	panel1
pE1 cytotoxic Tcells (CD95-CD28-,CD27+  CD28+)	10320	0.99733229079753	0.997291527797892	0.00844654126855262	0.00844503951244352	0.0129253066986384	0.0129312018008126	0.0144820832282531	0.0144816469882616	FREQ_LYMPH_PBMC	panel1
IgD- memory Bcells (CD27+)	10320	0.999510801605505	0.998600175016019	885.5	885.5	1401.15872093023	1402.7109496124	3099.48389118351	3103.13349294274	COUNT	panel1
IgD- memory Bcells (CD27+)	10320	0.997011615222066	0.997011615222066	0.0963545001161893	0.0964233899132677	0.120399747269253	0.120459816628619	0.0945486470833284	0.0945749427392187	FREQ_PARENT	panel1
IgD- memory Bcells (CD27+)	10320	0.998747743807356	0.998545818940234	0.0053290839082263	0.00532469184651698	0.00790458323409756	0.00791221024083681	0.0151219324629286	0.0151312075789235	FREQ_LYMPH_PBMC	panel1
naive Bcells (CD27- IgD+)	10320	0.999349319198807	0.999401154449325	6194	6190	8102.66124031008	8096.67567829457	7510.77299674244	7503.61620791645	COUNT	panel1
naive Bcells (CD27- IgD+)	10320	0.996854438797537	0.996854438797537	0.669917398363715	0.67005106512778	0.636667340517013	0.636433822481425	0.175093588219392	0.175282143501666	FREQ_PARENT	panel1
naive Bcells (CD27- IgD+)	10320	0.998366525916423	0.999173987505318	0.0370196705459466	0.03699680092983	0.045624833853461	0.0455835880363517	0.0362026596954369	0.0360371318461206	FREQ_LYMPH_PBMC	panel1
IgD+ memory Bcells (CD27+)	10320	0.99920334749782	0.997641365373386	1001	998	1595.60406976744	1594.5363372093	3167.62481602804	3163.84660746913	COUNT	panel1
IgD+ memory Bcells (CD27+)	10320	0.996818848460014	0.996818848460014	0.108978012663191	0.108983155996354	0.136235352112349	0.136186204442357	0.102135297323306	0.102209699285698	FREQ_PARENT	panel1
IgD+ memory Bcells (CD27+)	10320	0.993110872586692	0.997838079841098	0.00602621147121573	0.0060226805670258	0.00911437631886351	0.00911738093701118	0.0136362734329127	0.0136801018650055	FREQ_LYMPH_PBMC	panel1
Lymphocytes (SSC-A v FSC-A)	10320	0.999979025286437	0.999976642203694	180780.5	180813	186375.278100775	186386.92625969	94872.0076504083	94875.9911676198	COUNT	panel1
Lymphocytes (SSC-A v FSC-A)	10320	0.999932590986427	0.999932590986427	0.150571874046182	0.150646465771465	0.169560366284513	0.169574853922615	0.0991404025737483	0.0991500520133805	FREQ_PARENT	panel1
Lymphocytes (SSC-A v FSC-A)	10320	NA	NA	1	1	1	1	0	0	FREQ_LYMPH_PBMC	panel1
Live cells (PE-)	10320	0.99995903547711	0.999961975051251	178253	178284	183905.800678295	183917.779457364	93896.9023975319	93910.694386844	COUNT	panel1
Live cells (PE-)	10320	0.997899970088632	0.997899970088632	0.993087137478607	0.993091356960317	0.990371163352616	0.990375511077743	0.0159801119628961	0.0158899396763524	FREQ_PARENT	panel1
Live cells (PE-)	10320	0.960924585783406	0.938891612631203	0.988801614809836	0.988773929461852	0.985600021062691	0.985578989616549	0.0185452361748094	0.0186928427975259	FREQ_LYMPH_PBMC	panel1
Single Cells (FSC-H v FSC-W)	10320	0.999957040981549	0.999958586395183	180131	180115.5	185602.523643411	185614.19622093	94594.9892647844	94610.1686548465	COUNT	panel1
Single Cells (FSC-H v FSC-W)	10320	0.767015469793118	0.767015469793118	0.996690195570991	0.996683169811984	0.99516114142632	0.995137345914972	0.00768905637547491	0.00835003276304407	FREQ_PARENT	panel1
Single Cells (FSC-H v FSC-W)	10320	0.767015469793118	0.793814125649213	0.996690195570991	0.996683169811984	0.99516114142632	0.995137345914972	0.00768905637547491	0.00835003276304407	FREQ_LYMPH_PBMC	panel1
Tcells (CD3+ CD19-)	10320	0.999969338031233	0.999977220346042	123328.5	123364	131757.721511628	131768.53003876	76018.8100899059	76029.3529383457	COUNT	panel1
Tcells (CD3+ CD19-)	10320	0.99972783989545	0.99972783989545	0.722578348729765	0.722762384414374	0.699576617040775	0.699589786513775	0.130053217774242	0.12999627085669	FREQ_PARENT	panel1
Tcells (CD3+ CD19-)	10320	0.999394732401164	0.999748148180369	0.71295070461036	0.713053639724118	0.689903593993272	0.689910999005837	0.130274288887471	0.130241701005227	FREQ_LYMPH_PBMC	panel1
Plasmacytoid DC (CD11c- CD123+)	10223	0.999999998954925	0.999999998337705	725	725	1072.76367015553	1072.76357233689	1796.98394725554	1796.98309201372	COUNT	panel2
Plasmacytoid DC (CD11c- CD123+)	10223	0.999999996308656	0.999999996308656	0.154492566257272	0.154492566257272	0.185939461912838	0.185939446234646	0.122029031767192	0.122029142619969	FREQ_PARENT	panel2
Plasmacytoid DC (CD11c- CD123+)	10223	0.999999998866847	0.999999999101463	0.00246971504992999	0.00246971504992999	0.00379736987942208	0.00379737139614795	0.00798578842271932	0.00798579442554268	FREQ_LYMPH_PBMC	panel2
Myeloid DC (CD11c+ CD123-)	10223	0.999999999762074	0.999999999618121	3278	3278	4178.43049985327	4178.43001076005	3655.03858571118	3655.03982648753	COUNT	panel2
Myeloid DC (CD11c+ CD123-)	10223	0.999999997343239	0.999999997343239	0.716630591630592	0.716630591630592	0.681678546604757	0.681678458259262	0.142509184434073	0.14250932796917	FREQ_PARENT	panel2
Myeloid DC (CD11c+ CD123-)	10223	0.999999999700161	0.999999999168853	0.0109198390760557	0.0109198390760557	0.0141867578458144	0.0141867539830119	0.0140553760987678	0.0140553750502046	FREQ_LYMPH_PBMC	panel2
NK CD56LO	10237	1	1	21581	21581	28494.5420533359	28494.5420533359	38324.5245144542	38324.5245144542	COUNT	panel2
NK CD56LO	10237	1	1	0.962531516654657	0.962531516654657	0.935412990908476	0.935412990908476	0.101426309246635	0.101426309246635	FREQ_PARENT	panel2
NK CD56LO	10237	1	1	0.0731916227884016	0.0731916227884016	0.0863814285676413	0.0863814285676413	0.0652571108365323	0.0652571108365323	FREQ_LYMPH_PBMC	panel2
DC NK (CD20- CD14-)	10237	1	1	38658	38658	46306.1767119273	46306.1767119273	45458.1936592358	45458.1936592358	COUNT	panel2
DC NK (CD20- CD14-)	10237	1	1	0.563408552757388	0.563408552757388	0.5590383405043	0.5590383405043	0.168653342089941	0.168653342089941	FREQ_PARENT	panel2
DC NK (CD20- CD14-)	10237	1	1	0.13039741641674	0.13039741641674	0.146834175434574	0.146834175434574	0.0855552637753496	0.0855552637753496	FREQ_LYMPH_PBMC	panel2
NK CD56HI	10237	1	1	114	114	302.804434893035	302.804434893035	1470.65753313455	1470.65753313455	COUNT	panel2
NK CD56HI	10237	1	1	0.0048815040583176	0.0048815040583176	0.00895863172225044	0.00895863172225044	0.0166845323095709	0.0166845323095709	FREQ_PARENT	panel2
NK CD56HI	10237	1	1	0.000402515853930892	0.000402515853930892	0.000809802983625322	0.000809802983625322	0.00218644740119866	0.00218644740119866	FREQ_LYMPH_PBMC	panel2
Classical monocytes (CD16- CD14+)	10237	1	1	17385	17385	22808.0958288561	22808.0958288561	19724.0883850989	19724.0883850989	COUNT	panel2
Classical monocytes (CD16- CD14+)	10237	1	1	0.969705986555548	0.969705986555548	0.95426311549771	0.95426311549771	0.0619910824591414	0.0619910824591414	FREQ_PARENT	panel2
Classical monocytes (CD16- CD14+)	10237	1	1	0.0599697576226862	0.0599697576226862	0.0769641264124817	0.0769641264124817	0.0650415568130585	0.0650415568130585	FREQ_LYMPH_PBMC	panel2
DC NK MONOCYTES (CD3- CD19-)	10237	1	1	73738	73738	82778.643840969	82778.643840969	58474.6130260881	58474.6130260881	COUNT	panel2
DC NK MONOCYTES (CD3- CD19-)	10237	1	1	0.246208117912537	0.246208117912537	0.272192208945445	0.272192208945445	0.134893067653542	0.134893067653542	FREQ_PARENT	panel2
DC NK MONOCYTES (CD3- CD19-)	10237	1	1	0.246208117912537	0.246208117912537	0.272192208945445	0.272192208945445	0.134893067653542	0.134893067653542	FREQ_LYMPH_PBMC	panel2
DC (HLA-DR+)	10237	1	1	4867	4867	6041.83227508059	6041.83227508059	5122.73244872393	5122.73244872393	COUNT	panel2
DC (HLA-DR+)	10237	1	1	0.130707987956192	0.130707987956192	0.154414534992535	0.154414534992535	0.102120746707764	0.102120746707764	FREQ_PARENT	panel2
DC (HLA-DR+)	10237	1	1	0.0161175793879049	0.0161175793879049	0.0206928707917911	0.0206928707917911	0.0204660127931987	0.0204660127931987	FREQ_LYMPH_PBMC	panel2
MONOCYTES (CD14+)	10237	1	1	18228	18228	23948.7257985738	23948.7257985738	20770.8927344696	20770.8927344696	COUNT	panel2
MONOCYTES (CD14+)	10237	1	1	0.269466215354973	0.269466215354973	0.28223732600114	0.28223732600114	0.143469355774055	0.143469355774055	FREQ_PARENT	panel2
MONOCYTES (CD14+)	10237	1	1	0.0628250426773592	0.0628250426773592	0.0811159364283664	0.0811159364283664	0.0689257821649878	0.0689257821649878	FREQ_LYMPH_PBMC	panel2
NK (CD16+)	10237	1	1	23030	23030	30721.275862069	30721.275862069	41700.3976571174	41700.3976571174	COUNT	panel2
NK (CD16+)	10237	1	1	0.628202671149056	0.628202671149056	0.607392254557992	0.607392254557992	0.163854715387026	0.163854715387026	FREQ_PARENT	panel2
NK (CD16+)	10237	1	1	0.0781139399474826	0.0781139399474826	0.0933073931875702	0.0933073931875702	0.0736999078074659	0.0736999078074659	FREQ_LYMPH_PBMC	panel2
Non classical monocytes (CD16+ CD14+)	10237	1	1	526	526	1140.62996971769	1140.62996971769	2357.23781363605	2357.23781363605	COUNT	panel2
