KEY	Population.x	name.x	Parent.x	Count.x	ParentCount.x	METRIC.x	GATE.x	QC.x	Panel.x	PDF.x	FlaggedSample.x	MACHINE.x	RealAutoParent.x	Manual.x	Merge.x	freq_lymph.x	freqParent.x	freq_PBMC.x	Population.y	name.y	Parent.y	Count.y	ParentCount.y	METRIC.y	GATE.y	QC.y	Panel.y	PDF.y	FlaggedSample.y	MACHINE.y	TEMPLATE_FILE_USED	RealAutoParent.y	Manual.y	Merge.y	freq_lymph.y	freqParent.y	freq_PBMC.y	TEMPLATE_FILE_USEDTRIM	DIFF
2016-06-13_PANEL 1_DHS_Group one_F1636495_013.fcsIgD-CD27+panel1BcellsLSRIgD- memory Bcells (CD27+)	IgD-CD27+	2016-06-13_PANEL 1_DHS_Group one_F1636495_013.fcs	Bcells	319	2938	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_1/gate_plots12.pdf	FALSE	LSR	Bcells	IgD- memory Bcells (CD27+)	IgD-CD27+_2016-06-13_PANEL 1_DHS_Group one_F1636495_013.fcs	0.00169586135403099	0.10857726344452	NA	IgD-CD27+	2016-06-13_PANEL 1_DHS_Group one_F1636495_013.fcs	Bcells	197	2944	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_1/gate_plots19.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Bcells	IgD- memory Bcells (CD27+)	IgD-CD27+_2016-06-13_PANEL 1_DHS_Group one_F1636495_013.fcs	0.00104523700881819	0.0669157608695652	NA	lymph.LSR.f	0.0416615025749548
2016-06-13_PANEL 1_DHS_Group one_F1636495_013.fcsIgD+CD27-panel1BcellsLSRnaive Bcells (CD27- IgD+)	IgD+CD27-	2016-06-13_PANEL 1_DHS_Group one_F1636495_013.fcs	Bcells	1775	2938	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_1/gate_plots12.pdf	FALSE	LSR	Bcells	naive Bcells (CD27- IgD+)	IgD+CD27-_2016-06-13_PANEL 1_DHS_Group one_F1636495_013.fcs	0.00943621913293108	0.604152484683458	NA	IgD+CD27-	2016-06-13_PANEL 1_DHS_Group one_F1636495_013.fcs	Bcells	1896	2944	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_1/gate_plots19.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Bcells	naive Bcells (CD27- IgD+)	IgD+CD27-_2016-06-13_PANEL 1_DHS_Group one_F1636495_013.fcs	0.0100597429884228	0.644021739130435	NA	lymph.LSR.f	0.0398692544469771
2016-06-13_PANEL 1_DHS_Group one_F1636495_013.fcsIgD+CD27+panel1BcellsLSRIgD+ memory Bcells (CD27+)	IgD+CD27+	2016-06-13_PANEL 1_DHS_Group one_F1636495_013.fcs	Bcells	512	2938	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_1/gate_plots12.pdf	FALSE	LSR	Bcells	IgD+ memory Bcells (CD27+)	IgD+CD27+_2016-06-13_PANEL 1_DHS_Group one_F1636495_013.fcs	0.00272188405411871	0.17426820966644	NA	IgD+CD27+	2016-06-13_PANEL 1_DHS_Group one_F1636495_013.fcs	Bcells	640	2944	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_1/gate_plots19.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Bcells	IgD+ memory Bcells (CD27+)	IgD+CD27+_2016-06-13_PANEL 1_DHS_Group one_F1636495_013.fcs	0.00339569383575453	0.217391304347826	NA	lymph.LSR.f	0.043123094681386
2016-07-08_PANEL 1_ZF_Group one_F1632342_002.fcsSingletspanel1lymphLSRSingle Cells (FSC-H v FSC-W)	Singlets	2016-07-08_PANEL 1_ZF_Group one_F1632342_002.fcs	lymph	11082	11247	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_2/gate_plots1.pdf	FALSE	LSR	lymph	Single Cells (FSC-H v FSC-W)	Singlets_2016-07-08_PANEL 1_ZF_Group one_F1632342_002.fcs	0.985329421178981	0.985329421178981	NA	Singlets	2016-07-08_PANEL 1_ZF_Group one_F1632342_002.fcs	lymph	11009	11487	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_1/gate_plots36.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	lymph	Single Cells (FSC-H v FSC-W)	Singlets_2016-07-08_PANEL 1_ZF_Group one_F1632342_002.fcs	0.958387742665622	0.958387742665622	NA	lymph.LSR.f	0.026941678513359
2016-07-14_PANEL 1_ZF_Group two_F1631227_031.fcsCD4panel1TcellsLSRHelper Tcells-CD4+	CD4	2016-07-14_PANEL 1_ZF_Group two_F1631227_031.fcs	Tcells	102928	141943	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_2/gate_plots6.pdf	FALSE	LSR	Tcells	Helper Tcells-CD4+	CD4_2016-07-14_PANEL 1_ZF_Group two_F1631227_031.fcs	0.570639729893055	0.725136146199531	NA	CD4	2016-07-14_PANEL 1_ZF_Group two_F1631227_031.fcs	Tcells	106827	142288	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_2/gate_plots3.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Tcells	Helper Tcells-CD4+	CD4_2016-07-14_PANEL 1_ZF_Group two_F1631227_031.fcs	0.590680880710407	0.750780107950073	NA	lymph.LSR.f	0.025643961750542
2016-07-15_PANEL 1_ZF_Group one_F1632086_004.fcsCD4panel1TcellsLSRHelper Tcells-CD4+	CD4	2016-07-15_PANEL 1_ZF_Group one_F1632086_004.fcs	Tcells	36645	85350	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_2/gate_plots8.pdf	FALSE	LSR	Tcells	Helper Tcells-CD4+	CD4_2016-07-15_PANEL 1_ZF_Group one_F1632086_004.fcs	0.201812984981743	0.429349736379613	NA	CD4	2016-07-15_PANEL 1_ZF_Group one_F1632086_004.fcs	Tcells	32278	85330	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_2/gate_plots5.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Tcells	Helper Tcells-CD4+	CD4_2016-07-15_PANEL 1_ZF_Group one_F1632086_004.fcs	0.177740333256242	0.378272588772999	NA	lymph.LSR.f	0.051077147606614
2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcsIgD+CD27-panel1BcellsLSRnaive Bcells (CD27- IgD+)	IgD+CD27-	2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	Bcells	4	6	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_2/gate_plots15.pdf	FALSE	LSR	Bcells	naive Bcells (CD27- IgD+)	IgD+CD27-_2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	0.025	0.666666666666667	NA	IgD+CD27-	2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	Bcells	4	9	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_2/gate_plots12.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Bcells	naive Bcells (CD27- IgD+)	IgD+CD27-_2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	0.0195121951219512	0.444444444444444	NA	lymph.LSR.f	0.222222222222223
2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcsIgD+CD27+panel1BcellsLSRIgD+ memory Bcells (CD27+)	IgD+CD27+	2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	Bcells	2	6	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_2/gate_plots15.pdf	FALSE	LSR	Bcells	IgD+ memory Bcells (CD27+)	IgD+CD27+_2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	0.0125	0.333333333333333	NA	IgD+CD27+	2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	Bcells	5	9	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_2/gate_plots12.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Bcells	IgD+ memory Bcells (CD27+)	IgD+CD27+_2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	0.024390243902439	0.555555555555556	NA	lymph.LSR.f	0.222222222222223
2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcsPE-A-panel1SingletsLSRLive cells (PE-)	PE-A-	2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	Singlets	155	160	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_2/gate_plots15.pdf	FALSE	LSR	Singlets	Live cells (PE-)	PE-A-_2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	0.96875	0.96875	NA	PE-A-	2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	Singlets	183	198	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_2/gate_plots12.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Singlets	Live cells (PE-)	PE-A-_2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	0.892682926829268	0.924242424242424	NA	lymph.LSR.f	0.044507575757576
2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcsSingletspanel1lymphLSRSingle Cells (FSC-H v FSC-W)	Singlets	2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	lymph	160	160	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_2/gate_plots15.pdf	FALSE	LSR	lymph	Single Cells (FSC-H v FSC-W)	Singlets_2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	1	1	NA	Singlets	2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	lymph	198	205	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_2/gate_plots12.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	lymph	Single Cells (FSC-H v FSC-W)	Singlets_2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	0.965853658536585	0.965853658536585	NA	lymph.LSR.f	0.034146341463415
2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcsTcellspanel1PE-A-LSRTcells (CD3+ CD19-)	Tcells	2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	PE-A-	144	155	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_2/gate_plots15.pdf	FALSE	LSR	PE-A-	Tcells (CD3+ CD19-)	Tcells_2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	0.9	0.929032258064516	NA	Tcells	2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	PE-A-	154	183	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_2/gate_plots12.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	PE-A-	Tcells (CD3+ CD19-)	Tcells_2016-07-29_PANEL 1_ZF_Group two_F1636816_025.fcs	0.751219512195122	0.841530054644809	NA	lymph.LSR.f	0.0875022034197069
2016-08-02_PANEL 1_DHS_Group one_F1636843_004.fcsCD8panel1TcellsLSRcytotoxic Tcells-CD8+	CD8	2016-08-02_PANEL 1_DHS_Group one_F1636843_004.fcs	Tcells	50641	120690	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_2/gate_plots20.pdf	FALSE	LSR	Tcells	cytotoxic Tcells-CD8+	CD8_2016-08-02_PANEL 1_DHS_Group one_F1636843_004.fcs	0.332433993724316	0.419595658298119	NA	CD8	2016-08-02_PANEL 1_DHS_Group one_F1636843_004.fcs	Tcells	48008	120146	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_2/gate_plots16.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Tcells	cytotoxic Tcells-CD8+	CD8_2016-08-02_PANEL 1_DHS_Group one_F1636843_004.fcs	0.316681728530248	0.399580510379039	NA	lymph.LSR.f	0.02001514791908
2016-08-04_PANEL 1_ZF_Group two_F1631101_024.fcsIgD-CD27+panel1BcellsLSRIgD- memory Bcells (CD27+)	IgD-CD27+	2016-08-04_PANEL 1_ZF_Group two_F1631101_024.fcs	Bcells	3137	10590	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_17full//FULL/openCytoBatch_2/gate_plots22.pdf	FALSE	LSR	Bcells	IgD- memory Bcells (CD27+)	IgD-CD27+_2016-08-04_PANEL 1_ZF_Group two_F1631101_024.fcs	0.0114242221186342	0.296222851746931	NA	IgD-CD27+	2016-08-04_PANEL 1_ZF_Group two_F1631101_024.fcs	Bcells	5148	10583	count	AUTOMATIC	FALSE	panel1	/scratch.global/lanej/flow/full/results_r25_25full_SS_SubCD8_SCD14_Manuals//FULL/openCytoBatch_2/gate_plots19.pdf	FALSE	LSR	/home/tsaim/lane0212/git/auto-fcs//explore/openCyto/lymph.dev.LSR.f.txt	Bcells	IgD- memory Bcells (CD27+)	IgD-CD27+_2016-08-04_PANEL 1_ZF_Group two_F1631101_024.fcs	0.0187432416196083	0.486440517811585	NA	lymph.LSR.f	0.190217666064654
